Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
1,144.26500,144.26500,,Simplex,Auto,KC2HSO FI,Large,Tone,203.5 Hz,023,Low,Off,Auto,Off,35 16629 434.68 NM Los Alamos Los Alamos KC2HSO,1500 Hz
2,144.90000,144.90000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
3,144.91500,144.91500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
4,144.93000,144.93000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
5,144.94500,144.94500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
6,144.96000,144.96000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
7,144.97500,144.97500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
8,144.99000,144.99000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
9,145.00500,145.00500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
10,145.02000,145.02000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
11,145.03500,145.03500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
12,145.05000,145.05000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
13,145.06500,145.06500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
14,145.08000,145.08000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
15,145.09500,145.09500,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
16,145.11000,145.11000,,Simplex,Auto,Weak Signal FM D ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,Weak Signal FM Digital/Packet,1500 Hz
17,145.11500,144.51500,600 kHz,Minus,Auto,W0UPS FE,Large,T Sql,100.0 Hz,023,Low,Off,Auto,Off,8 123 104.70 CO Larimer Fort Collins Horsetooth Mountain W0UPS,1500 Hz
18,145.11500,144.51500,600 kHz,Minus,Auto,W0PHC F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 191 154.19 CO Pueblo Pueblo W0PHC,1500 Hz
19,145.13000,144.53000,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 37 98.10 CO El Paso Colorado Springs Cheyenne Mountain KB0VJJ,1500 Hz
20,145.14500,144.54500,600 kHz,Minus,Auto,W0CRA F,Large,T Sql,107.2 Hz,023,Low,Off,Auto,Off,8 107 51.58 CO Clear Creek Idaho Springs Squaw Mountain W0CRA,1500 Hz
21,145.16000,144.56000,600 kHz,Minus,Auto,W0CRA FEI,Large,T Sql,107.2 Hz,023,Low,Off,Auto,Off,8 38 98.96 CO El Paso Colorado Springs Cheyenne Mountain W0CRA,1500 Hz
22,145.16000,144.56000,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 244 170.10 CO Jackson Walden Peterson Ridge KB0VJJ,1500 Hz
23,145.17500,144.57500,600 kHz,Minus,Auto,W0RRZ FI,Large,Tone,107.2 Hz,023,Low,Off,Auto,Off,8 147 317.00 CO Mesa Grand Junction GJT W0RRZ,1500 Hz
24,145.17500,144.57500,600 kHz,Minus,Auto,WX7Y F,Large,None,100.0 Hz,023,Low,Off,Auto,Off,49 15319 467.03 UT Carbon Sunny Side Bruin Peak WX7Y,1500 Hz
25,145.19000,144.59000,600 kHz,Minus,Auto,N0OBA FE,Large,Tone,151.4 Hz,023,Low,Off,Auto,Off,8 8741 11.59 CO Arapahoe Aurora N0OBA,1500 Hz
26,145.19000,144.59000,600 kHz,Minus,Auto,N0XLF FE,Large,T Sql,131.8 Hz,023,Low,Off,Auto,Off,8 8740 54.68 CO Douglas Palmer Lake Monument Hill N0XLF,1500 Hz
27,145.19000,144.59000,600 kHz,Minus,Auto,KB5ITS F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 16606 394.87 CO Montezuma Cortez Goodman KB5ITS,1500 Hz
28,145.19000,144.59000,600 kHz,Minus,Auto,W5SF F,Large,T Sql,162.2 Hz,023,Low,Off,Auto,Off,35 118 436.34 NM Los Alamos Los Alamos Pajarito Mountain W5SF,1500 Hz
29,145.19000,144.59000,600 kHz,Minus,Auto,Santa Fe F,Large,Tone,162.2 Hz,023,Low,Off,Auto,Off,35 17323 447.65 NM Bernalillo Santa Fe,1500 Hz
30,145.21000,144.61000,600 kHz,Minus,Auto,N5GDR FL,Large,T Sql,110.9 Hz,023,Low,Off,Auto,Off,35 16113 346.61 NM Colfax Maxwell N5GDR,1500 Hz
31,145.22000,144.62000,600 kHz,Minus,Auto,KE0TY F,Large,Tone,107.2 Hz,023,Low,Off,Auto,Off,8 8167 320.68 CO Mesa Grand Junction KE0TY,1500 Hz
32,145.23500,144.63500,600 kHz,Minus,Auto,KB7SWR F,Large,Tone,131.8 Hz,023,Low,Off,Auto,Off,56 19 168.34 WY Laramie Cheyenne KB7SWR,1500 Hz
33,145.25000,144.65000,600 kHz,Minus,Auto,KF5PFO F,Large,Tone,123.0 Hz,023,Low,Off,Auto,Off,35 15618 320.88 NM Taos Red River Valle Vidal KF5PFO,1500 Hz
34,145.26500,144.66500,600 kHz,Minus,Auto,KB0SRJ Y,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 39 103.09 CO El Paso Colorado Springs ~2 mi ENE USAFA North Gate KB0SRJ,1500 Hz
35,145.26500,144.66500,600 kHz,Minus,Auto,WD0HAM F,Large,Tone,107.2 Hz,023,Low,Off,Auto,Off,8 3740 246.36 CO Moffat Craig WD0HAM,1500 Hz
36,145.28000,144.68000,600 kHz,Minus,Auto,KE0SJ F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 140 42.22 CO Jefferson Golden Centennial Cone KE0SJ,1500 Hz
37,145.29500,144.69500,600 kHz,Minus,Auto,KC0CVU F,Large,Tone,107.2 Hz,023,Low,Off,Auto,Off,8 203 161.77 CO Chaffee Salida Methodist Mountain KC0CVU,1500 Hz
38,145.29500,144.69500,600 kHz,Minus,Auto,WA0JTB F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 238 181.33 CO Logan Sterling CO WA0JTB,1500 Hz
39,145.31000,144.71000,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 72 53.96 CO Gilpin Boulder Thorodin Mountain KB0VJJ,1500 Hz
40,145.32500,144.72500,600 kHz,Minus,Auto,KD0MRC F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 16739 176.74 CO Chaffee Maysville KD0MRC,1500 Hz
41,145.32500,144.72500,600 kHz,Minus,Auto,KB5ITS F,Large,Tone,127.3 Hz,023,Low,Off,Auto,Off,8 16605 313.91 CO San Juan Silverton Buffalo Boy KB5ITS,1500 Hz
42,145.32500,144.72500,600 kHz,Minus,Auto,KB5ITS F,Large,None,100.0 Hz,023,Low,Off,Auto,Off,8 18459 378.79 CO Montezuma Mancos Caviness KB5ITS,1500 Hz
43,145.32500,144.72500,600 kHz,Minus,Auto,KB5ITS F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 8168 388.21 CO Montezuma Mancos Menefee Mountain KB5ITS,1500 Hz
44,145.34000,144.74000,600 kHz,Minus,Auto,KE4GUQ FI,Large,Tone,103.5 Hz,023,Low,Off,Auto,Off,8 73 36.29 CO Jefferson Evergreen KE4GUQ,1500 Hz
45,145.35500,144.75500,600 kHz,Minus,Auto,N0JPX FI,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 168 236.17 CO Huerfano La Veta N0JPX,1500 Hz
46,145.35500,144.75500,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 149 268.94 CO Mesa Grand Junction Grand Mesa KB0VJJ,1500 Hz
47,145.37000,144.77000,600 kHz,Minus,Auto,KB0VIU F,Large,T Sql,100.0 Hz,023,Low,Off,Auto,Off,8 8169 376.04 CO La Plata Hesperus KB0VIU,1500 Hz
48,145.40000,144.80000,600 kHz,Minus,Auto,KB0UDD F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 5 13.23 CO Arapahoe Aurora Smoky Hill KB0UDD,1500 Hz
49,145.40000,144.80000,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 2 155.06 CO Washington Akron KB0VJJ,1500 Hz
50,145.41500,144.81500,600 kHz,Minus,Auto,KA0WUC F,Large,Tone,179.9 Hz,023,Low,Off,Auto,Off,8 249 71.78 CO Teller Woodland Park KA0WUC,1500 Hz
51,145.43000,144.83000,600 kHz,Minus,Auto,WA6IFI F,Large,Tone,107.2 Hz,023,Low,Off,Auto,Off,8 239 294.76 CO Las Animas Trinidad Raton Pass WA6IFI,1500 Hz
52,145.43000,144.83000,600 kHz,Minus,Auto,NM5SJ F,Large,Tone,136.5 Hz,023,Low,Off,Auto,Off,35 15624 351.37 NM Rio Arriba Dulce NM5SJ,1500 Hz
53,145.44500,144.84500,600 kHz,Minus,Auto,KB0VJJ F,Large,Tone,88.5 Hz,023,Low,Off,Auto,Off,8 172 117.45 CO Lake Leadville Mosquito Pass KB0VJJ,1500 Hz
54,145.46000,144.86000,600 kHz,Minus,Auto,W0CRA FEI,Large,T Sql,107.2 Hz,023,Low,Off,Auto,Off,8 8 63.22 CO Boulder Boulder Eldorado Mountain W0CRA,1500 Hz
55,145.46000,144.86000,600 kHz,Minus,Auto,WB0WDF F,Large,Tone,67.0 Hz,023,Low,Off,Auto,Off,8 64 100.93 CO Teller Cripple Creek WB0WDF,1500 Hz
56,145.46000,144.86000,600 kHz,Minus,Auto,K7PLA F,Large,T Sql,110.9 Hz,023,Low,Off,Auto,Off,56 12433 365.42 WY Natrona Casper Casper Mountain K7PLA,1500 Hz
57,145.47500,144.87500,600 kHz,Minus,Auto,KE0SJ F,Large,Tone,100.0 Hz,023,Low,Off,Auto,Off,8 75 14.69 CO Jefferson Boulder Blue Mountain KE0SJ,1500 Hz
58,145.49000,144.89000,600 kHz,Minus,Auto,W0TX F,Large,T Sql,100.0 Hz,023,Low,Off,Auto,Off,8 76 51.58 CO Jefferson Idaho Springs Centennial Cone W0TX,1500 Hz
59,145.49000,144.89000,600 kHz,Minus,Auto,WD0EKR F,Large,T Sql,103.5 Hz,023,Low,Off,Auto,Off,8 30 134.84 CO Fremont Canon City Fremont Peak WD0EKR,1500 Hz
60,145.49000,144.89000,600 kHz,Minus,Auto,W7BYU F,Large,Tone,136.5 Hz,023,Low,Off,Auto,Off,49 13041 449.17 UT Duchesne Myton Flat Top W7BYU,1500 Hz
61,145.62000,145.62000,,Simplex,Auto,W0FLO FI,Large,T Sql,100.0 Hz,023,Low,Off,Auto,Off,31 11357 389.72 NE Dawes Chadron W0FLO,1500 Hz
62,146.40000,146.40000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
63,146.41500,146.41500,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
64,146.43000,146.43000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
65,146.44500,146.44500,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
66,146.44500,146.44500,,Simplex,Auto,AG0N FI,Large,T Sql,88.5 Hz,023,Low,Off,Auto,Off,31 11355 277.02 NE Scotts Bluff Scottsbluff AG0N,1500 Hz
67,146.46000,146.46000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
68,146.47500,146.47500,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
69,146.47500,146.47500,,Simplex,Auto,W0FUI FI,Large,T Sql,146.2 Hz,023,Low,Off,Auto,Off,46 8144 438.29 SD Fall River Hot Springs W0FUI,1500 Hz
70,146.49000,146.49000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
71,146.50500,146.50500,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
72,146.52000,146.52000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
73,146.53500,146.53500,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
74,146.55000,146.55000,,Simplex,Auto,FM Voice ,Large,None,100.0 Hz,023,Low,Off,Auto,Off,FM Voice,1500 Hz
