Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
0,FM Calling,146.52,,0,,100,100,23,23,NN,FM,5,FM Calling
1,FM Calling,223.5,,0,,100,100,23,23,NN,FM,5,FM Calling
2,FM Calling,446,,0,,100,100,23,23,NN,FM,5,FM Calling
3,0AE Genoa,147.06,+,0.6,Tone,103.5,103.5,23,23,NN,FM,5,8 128 127.00 CO Lincoln Genoa KE0AE
4,0BF Fairplay Sacramento Mountain,447.125,-,5,TSQL,103.5,103.5,23,23,NN,FM,5,8 5336 113.00 CO Park Fairplay Sacramento Mountain AA0BF
5,0BG Aurora,448.275,-,5,Tone,156.7,156.7,23,23,NN,FM,5,8 8199 13.00 CO Arapahoe Aurora W0BG
6,0CL Snowmass Village,146.67,-,0.6,Tone,107.2,107.2,23,23,NN,FM,5,8 211 181.00 CO Pitkin Snowmass Village K0CL
7,0DE Simla,147.105,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,8 12167 82.00 CO Elbert Simla WA0DE
8,0DK Boulder,146.61,-,0.6,Tone,100,100,23,23,NN,FM,5,8 13 51.00 CO Boulder Boulder W0DK
9,0DK Boulder,146.73,-,0.6,TSQL,91.5,91.5,23,23,NN,FM,5,8 15 56.00 CO Boulder Boulder K0DK
10,0DK Boulder,449.4,-,5,Tone,91.5,91.5,23,23,NN,FM,5,8 21 54.00 CO Boulder Boulder K0DK
11,0DK Boulder Table Mesa,448.9,-,5,Tone,100,100,23,23,NN,FM,5,8 10 51.00 CO Boulder Boulder Table Mesa W0DK
12,0DK Boulder Table Mountain,146.7,-,0.6,Tone,100,100,23,23,NN,FM,5,8 14 51.00 CO Boulder Boulder Table Mountain W0DK
13,0EB Hudson,449.925,-,5,TSQL,114.8,114.8,23,23,NN,FM,5,8 8216 49.00 CO Weld Hudson K0EB
14,0FH Estes Park,146.685,-,0.6,TSQL,123,123,23,23,NN,FM,5,8 119 94.00 CO Larimer Estes Park N0FH
15,0FH Estes Park,449.8,-,5,Tone,123,123,23,23,NN,FM,5,8 120 99.00 CO Larimer Estes Park N0FH
16,0GO Golden Guy Hill,449.75,-,5,TSQL,103.5,103.5,23,23,NN,FM,5,8 265 41.00 CO Jefferson Golden Guy Hill KI0GO
17,0GV Golden,448.975,-,5,Tone,123,123,23,23,NN,FM,5,8 137 31.00 CO Jefferson Golden W0GV
18,0IA Boulder,449.55,-,5,Tone,100,100,23,23,NN,FM,5,8 11 54.00 CO Boulder Boulder W0IA
19,0IA Boulder Gunbarrel Hill,146.76,-,0.6,Tone,100,100,23,23,NN,FM,5,8 16 53.00 CO Boulder Boulder Gunbarrel Hill W0IA
20,0IA Boulder Lee Hill,224.02,-,1.6,,100,100,23,23,NN,FM,5,8 18 63.00 CO Boulder Boulder Lee Hill W0IA
21,0JZ Gold Hill,146.91,-,0.6,Cross,123,127.3,23,23,NN,FM,5,8 13368 66.00 CO Boulder Gold Hill W0JZ
22,0KC Fort Lupton,224.96,-,1.6,,100,100,23,23,NN,FM,5,8 8183 51.00 CO Weld Fort Lupton AC0KC
23,0KC Fort Lupton,447.3,-,5,Tone,107.2,107.2,23,23,NN,FM,5,8 8739 45.00 CO Weld Fort Lupton AC0KC
24,0KG Colorado Springs Broadmoor A,448.25,-,5,Tone,123,123,23,23,NN,FM,5,8 8198 88.00 CO El Paso Colorado Springs Broadmoor Area N0KG
25,0KQ Evergreen Saddleback Mountai,447.85,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,8 9580 48.00 CO Clear Creek Evergreen Saddleback Mountain AC0KQ
26,0ML Northglenn,147.045,+,0.6,Tone,123,123,23,23,NN,FM,5,8 185 30.00 CO Adams Northglenn K0ML
27,0NR Monument Monument Hill,447.725,-,5,TSQL,100,100,23,23,NN,FM,5,8 183 60.00 CO El Paso Monument Monument Hill K0NR
28,0OJ Greeley UNC,449.725,-,5,Tone,127.3,127.3,23,23,NN,FM,5,8 159 88.00 CO Weld Greeley UNC K0OJ
29,0PC Bailey Dick Mountain,146.895,-,0.6,TSQL,100,100,23,23,NN,FM,5,8 7 55.00 CO Park Bailey Dick Mountain AB0PC
30,0PW Pueblo West Liberty Point,447.45,-,5,TSQL,123,123,23,23,NN,FM,5,8 18346 146.00 CO Pueblo Pueblo West Liberty Point NA0PW
31,0RM Rollinsville,224.6,-,1.6,Tone,100,100,23,23,NN,FM,5,8 201 61.00 CO Gilpin Rollinsville W0RM
32,0RV Vail Bald Mountain,146.61,-,0.6,Tone,107.2,107.2,23,23,NN,FM,5,8 256 125.00 CO Eagle Vail Bald Mountain K0RV
